Tilda UID;Brand;SKU;Mark;Category;Title;Price;Quantity;External ID;Parent UID;Weight;Length;Width;Height;Unit;Portion;Url
1,99568E+11;;AR-80х80х4 М20х200;;"Анкер регулируемый по высоте;Все категории";Анкер 80х80х4 М20х200;467.31;85;7cc12786-789b-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/anker/tproduct/199567675882-anker-80h80h4-m20h200
3,51883E+11;;AR-80х80х4 М24х200;;"Анкер регулируемый по высоте;Все категории";Анкер 80х80х4 М24х200;611.10;66;eb5b1b9b-789b-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/anker/tproduct/351883364282-anker-80h80h4-m24h200
4,27428E+11;;AR-100х100х4-М20х200;;"Анкер регулируемый по высоте;Все категории";Анкер 100х100х4 М20х200;570.40;41;8a55dfcd-789c-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/anker/tproduct/427428191932-anker-100h100h4-m20h200
6,73729E+11;;AR-100х100х4 М24х200;;"Анкер регулируемый по высоте;Все категории";Анкер 100х100х4 М24х200;743.30;67;ecb7223b-789c-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/anker/tproduct/673729491952-anker-100h100h4-m24h200
6,48515E+11;;AR-120х120х4 М20х200;;"Анкер регулируемый по высоте;Все категории";Анкер 120х120х4 М20х200;696.32;23;7703f838-789d-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/anker/tproduct/648514837952-anker-120h120h4-m20h200
3,93449E+11;;AR-120х120х4 М24х200;;"Анкер регулируемый по высоте;Все категории";Анкер 120х120х4 М24х200;869.22;43;a484740d-789d-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/anker/tproduct/393449177872-anker-120h120h4-m24h200
3,21319E+11;;AR-150х150х4 М20х200;;"Анкер регулируемый по высоте;Все категории";Анкер 150х150х4 М20х200;886.28;35;cc6f6776-789d-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/anker/tproduct/321319411872-anker-150h150h4-m20h200
2,00447E+11;;AR-150х150х4 М24х200;;"Анкер регулируемый по высоте;Все категории";Анкер 150х150х4 М24х200;1101.38;26;f8ef753a-789d-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/anker/tproduct/200447462742-anker-150h150h4-m24h200
3,189E+11;;AR-150х150х4 М30х250;;"Анкер регулируемый по высоте;Все категории";Анкер 150х150х4 М30х250;1428.29;35;1e0a7a43-789e-11ee-8885-e43d1a180a17;;0;0;0;0;PCE;1;http://droxmar.ru/anker/tproduct/318900080982-anker-150h150h4-m30h250
3,26941E+11;;G-OS-М10;;"Гайка;Все категории";Гайка шестигранная М10;���.52;3240;421ae9d4-9069-11ee-8885-e43d1a180a17;;10;0;0;0;PCE;1;http://droxmar.ru/gaika/tproduct/326940533462-gaika-shestigrannaya-m10
